idspecies,ecofunct_group,sourceid
50877,Phytophagous,7272
50878,Phytophagous,17500
50879,Parasite,17500
50880,Phytophagous,17500
50881,Phytophagous,17500
50882,Phytophagous,17500
50883,Phytophagous,7272
50884,Phytophagous,17500
50885,Detritovorous,17500
50886,Other,17500
50887,Phytophagous,17500
50888,Parasite,17500
50889,Phytophagous,17500
50890,Phytophagous,7272
50891,Phytophagous,7272
50892,Phytophagous,17500
50893,Phytophagous,17500
50894,Phytophagous,7272
50896,Phytophagous,7272
50897,Detritovorous,7272
50898,Phytophagous,7272
50899,Phytophagous,17500
50900,Phytophagous,17500
50901,Other,7272
50902,Phytophagous,17500
50903,Parasite,17500
50904,Phytophagous,17500
50905,Phytophagous,7272
50906,Detritovorous,17500
50907,Detritovorous,17500
50908,Phytophagous,7272
50909,Parasite,17500
50910,Phytophagous,17500
50912,Parasite,17500
50913,Parasite,17500
50914,Parasite,17500
50915,Parasite,17500
50917,Phytophagous,17500
50918,Phytophagous,17500
50919,Phytophagous,17500
50920,Detritovorous,7272
50921,Phytophagous,17500
50922,Detritovorous,7272
50923,Phytophagous,7272
50924,Detritovorous,7272
50925,Other,7272
50927,Phytophagous,17500
50929,Detritovorous,17500
50930,Detritovorous,7272
50931,Phytophagous,7272
50934,Phytophagous,7272
50935,Phytophagous,7272
50936,Detritovorous,7272
50937,Detritovorous,7272
50938,Detritovorous,7272
50939,Phytophagous,7272
50940,Detritovorous,7272
50941,Detritovorous,7272
50942,Detritovorous,7272
50943,Phytophagous,7272
50946,Detritovorous,17500
50947,Phytophagous,7272
50948,Phytophagous,7272
50949,Phytophagous,7272
50950,Phytophagous,7272
50953,Phytophagous,7272
50954,Parasite,17500
50955,Other,17500
50956,Phytophagous,17500
50957,Phytophagous,7272
50958,Detritovorous,17500
50959,Parasite,17500
50960,Phytophagous,7272
50962,Parasite,17500
50963,Parasite,17500
50964,Parasite,17500
50965,Parasite,17500
50966,Parasite,7272
50967,Parasite,17500
50968,Parasite,7272
50969,Parasite,17500
50970,Parasite,17500
50971,Detritovorous,7272
50972,Parasite,17500
50973,Detritovorous,17500
50974,Parasite,17500
50975,Parasite,7272
50976,Parasite,7272
50977,Phytophagous,7272
50978,Parasite,7272
50979,Detritovorous,17500
50980,Detritovorous,17500
50981,Phytophagous,17500
