idspecies,id_sp_region,population_status,sourceid
3111,1024,Established,""
3326,1025,Established,""
3343,1026,Established,""
3364,1027,Established,""
3559,1028,Established,""
3609,1031,Established,""
4336,1032,Established,""
4343,1033,Established,""
4369,1034,Established,""
4393,1035,Established,""
4805,1036,Established,""
4829,1037,Established,""
4840,1038,Established,""
4891,1039,Established,""
17089,1040,Established,""
7178,1041,Established,""
7190,1042,Established,""
6350,1043,Established,""
6742,1044,Established,""
6752,1045,Established,""
6893,1046,Established,""
7010,1047,Established,""
6819,1048,Established,""
7046,1049,Established,""
7080,1050,Established,""
16950,1051,Established,""
17684,1052,Established,""
17691,1053,Established,""
17692,1054,Established,""
21587,1055,Established,""
22615,1056,Established,""
21692,1057,Established,""
22002,1058,Established,""
22184,1059,Established,""
22320,1060,Established,""
22356,1061,Established,""
22399,1062,Established,""
22424,1063,Established,""
22433,1064,Established,""
22447,1065,Established,""
21892,1066,Established,""
21914,1067,Established,""
21935,1068,Established,""
22027,1069,Established,""
23070,1070,Established,""
23664,1071,Established,""
23676,1072,Established,""
24075,1073,Established,""
24098,1074,Established,""
17960,1075,Established,""
19198,1076,Established,""
7275,1077,Established,""
7278,1078,Established,""
7279,1079,Established,""
7292,1080,Established,""
7299,1081,Established,""
7300,1082,Established,""
7331,1083,Established,""
7317,1084,Established,""
7321,1085,Established,""
7324,1086,Established,""
12634,1087,Established,""
12656,1088,Established,""
24153,1089,Established,""
6342,1090,Established,""
20266,1091,Established,""
20302,1092,Established,""
20314,1093,Established,""
20263,1094,Established,""
8747,1095,Established,""
8748,1096,Established,""
14633,1097,Established,""
10186,1098,Established,""
12823,1099,Established,""
12749,1100,Established,""
12773,1101,Established,""
12793,1102,Established,""
12866,1103,Established,""
11942,1104,Established,""
12009,1105,Established,""
12267,1106,Established,""
9438,1107,Established,""
16633,1108,Established,""
9532,1109,Established,""
9539,1110,Established,""
9586,1111,Established,""
8673,1112,Established,""
9852,1113,Established,""
9909,1114,Established,""
10959,1115,Established,""
8064,1116,Established,""
8137,1117,Established,""
13466,1118,Established,""
16970,1119,Established,""
20353,1120,Established,""
20364,1121,Established,""
20470,1122,Established,""
20612,1123,Established,""
16574,1124,Established,""
19121,1125,Established,""
19129,1126,Established,""
10088,1127,Established,""
2924,1128,Established,""
10415,1129,Established,""
10386,1130,Established,""
5248,1131,Not established,""
5287,1132,Not established,""
173,1133,Not established,""
20353,1135,Not established,""
15728,1138,Not established,""
15758,1139,Not established,""
18353,1141,Not established,""
3512,1143,Not established,""
3559,1144,Not established,""
22459,1146,Not established,""
10119,1148,Not established,""
18369,1152,Not established,""
9681,1154,Not established,""
3796,1155,Not established,""
5966,1156,Not established,""
22476,1157,Not established,""
22525,1159,Not established,""
15790,1161,Not established,""
15799,1162,Not established,""
15819,1163,Not established,""
15893,1164,Not established,""
10263,1165,Not established,""
10296,1166,Not established,""
10304,1167,Not established,""
10343,1170,Not established,""
10351,1171,Not established,""
8064,1172,Not established,""
12893,1174,Not established,""
5319,1175,Not established,""
18404,1177,Not established,""
9747,1181,Not established,""
3948,1184,Not established,""
22962,1185,Not established,""
7474,1186,Not established,""
7479,1187,Not established,""
6358,1188,Not established,""
23017,1189,Not established,""
17960,1192,Not established,""
23403,1193,Not established,""
2183,1194,Not established,""
2192,1195,Not established,""
4023,1196,Not established,""
14669,1198,Not established,""
1994,1199,Not established,""
20391,1200,Not established,""
5639,1201,Not established,""
15988,1202,Not established,""
20824,1203,Not established,""
17360,1204,Not established,""
20254,1207,Not established,""
20294,1208,Not established,""
20317,1210,Not established,""
5086,1212,Not established,""
16719,1214,Not established,""
18435,1215,Not established,""
11456,1216,Not established,""
16758,1217,Not established,""
681,1218,Not established,""
11486,1219,Not established,""
11510,1220,Not established,""
21187,1224,Not established,""
1223,1225,Not established,""
10403,1227,Not established,""
16116,1228,Not established,""
24140,1229,Not established,""
11557,1230,Not established,""
11586,1231,Not established,""
11589,1232,Not established,""
7519,1233,Not established,""
20422,1235,Not established,""
5647,1236,Not established,""
12902,1237,Not established,""
16158,1238,Not established,""
16788,1239,Not established,""
16801,1240,Not established,""
16848,1241,Not established,""
16214,1243,Not established,""
17774,1245,Not established,""
17788,1246,Not established,""
8673,1247,Not established,""
5416,1248,Not established,""
16234,1249,Not established,""
9151,1252,Not established,""
2463,1253,Not established,""
18813,1255,Not established,""
20437,1256,Not established,""
20462,1257,Not established,""
5995,1258,Not established,""
6004,1259,Not established,""
18075,1260,Not established,""
18091,1261,Not established,""
9998,1263,Not established,""
9977,1264,Not established,""
18096,1265,Not established,""
8679,1269,Not established,""
6187,1270,Not established,""
5721,1273,Not established,""
9197,1275,Not established,""
18222,1277,Not established,""
18854,1278,Not established,""
21277,1279,Not established,""
20516,1280,Not established,""
19320,1282,Not established,""
4421,1283,Not established,""
17213,1284,Not established,""
20547,1285,Not established,""
20574,1286,Not established,""
8652,1288,Not established,""
21288,1289,Not established,""
7575,1291,Not established,""
8306,1292,Not established,""
8317,1293,Not established,""
7968,1294,Not established,""
239,1295,Not established,""
16259,1296,Not established,""
14992,1297,Not established,""
15017,1298,Not established,""
9086,1301,Not established,""
10386,1303,Not established,""
14095,1305,Not established,""
14237,1306,Not established,""
23539,1307,Not established,""
8532,1308,Not established,""
17028,1309,Not established,""
4597,1310,Not established,""
629,1311,Not established,""
658,1313,Not established,""
625,1314,Not established,""
10711,1315,Not established,""
6734,1316,Not established,""
6817,1317,Not established,""
18921,1318,Not established,""
18926,1319,Not established,""
18964,1320,Not established,""
18988,1321,Not established,""
2144,1322,Not established,""
2176,1323,Not established,""
4623,1324,Not established,""
8830,1325,Not established,""
8952,1326,Not established,""
12692,1327,Not established,""
11982,1328,Not established,""
4647,1329,Not established,""
4747,1330,Not established,""
16890,1332,Not established,""
23737,1333,Not established,""
7759,1334,Not established,""
7777,1335,Not established,""
23748,1336,Not established,""
23749,1337,Not established,""
16440,1339,Not established,""
20623,1341,Not established,""
20643,1342,Not established,""
20625,1343,Not established,""
20757,1345,Not established,""
20759,1346,Not established,""
23783,1348,Not established,""
12009,1350,Not established,""
4793,1353,Not established,""
12005,1354,Not established,""
14473,1355,Not established,""
16520,1356,Not established,""
12015,1357,Not established,""
368,1359,Not established,""
5443,1360,Not established,""
5452,1361,Not established,""
23959,1363,Not established,""
12238,1365,Not established,""
4970,1366,Not established,""
14559,1368,Not established,""
19894,1369,Not established,""
12294,1373,Not established,""
12327,1374,Not established,""
12473,1376,Not established,""
17733,1377,Not established,""
5022,1378,Not established,""
5064,1384,Not established,""
19412,1385,Not established,""
12942,1387,Not established,""
10128,1388,Not established,""
17069,1389,Not established,""
17089,1391,Established,""
17113,1392,Not established,""
17117,1393,Not established,""
21571,1394,Not established,""
21578,1395,Not established,""
21587,1396,Not established,""
21591,1397,Not established,""
619,1399,Not established,""
21634,1400,Not established,""
5794,1401,Not established,""
2745,1402,Not established,""
17076,1403,Not established,""
18283,1404,Not established,""
22623,1405,Not established,""
21657,1406,Not established,""
2763,1407,Not established,""
2793,1408,Not established,""
2809,1409,Established,""
16970,1410,Established,""
16660,1411,Not established,""
12975,1412,Not established,""
1322,1414,Not established,""
1329,1416,Not established,""
1335,1417,Not established,""
1358,1418,Not established,""
1410,1421,Not established,""
1442,1422,Not established,""
2841,1423,Not established,""
16699,1424,Not established,""
16703,1425,Not established,""
15065,1426,Not established,""
15080,1427,Not established,""
15074,1428,Not established,""
53860,1431,Established,""
6782,1432,Not established,""
6804,1433,Not established,""
6819,1434,Not established,""
6840,1435,Not established,""
6724,1436,Not established,""
6867,1437,Not established,""
6893,1438,Not established,""
6937,1439,Not established,""
7010,1440,Not established,""
7025,1441,Not established,""
6710,1443,Not established,""
7043,1444,Not established,""
7065,1446,Not established,""
7060,1447,Not established,""
7075,1448,Not established,""
7080,1449,Not established,""
21701,1451,Not established,""
21722,1452,Not established,""
13062,1453,Not established,""
20853,1454,Not established,""
20857,1455,Not established,""
21743,1457,Not established,""
21767,1458,Not established,""
21770,1459,Not established,""
21821,1460,Not established,""
17853,1461,Not established,""
17864,1462,Not established,""
17841,1463,Not established,""
21840,1464,Not established,""
5808,1466,Not established,""
20860,1467,Not established,""
21843,1469,Not established,""
21873,1470,Not established,""
2867,1471,Not established,""
20892,1472,Not established,""
11065,1474,Not established,""
20921,1475,Not established,""
15125,1476,Not established,""
15158,1477,Not established,""
21423,1478,Not established,""
5603,1479,Not established,""
22121,1481,Not established,""
22131,1482,Established,""
22156,1483,Not established,""
17514,1487,Not established,""
2609,1488,Not established,""
22242,1491,Not established,""
22252,1492,Established,""
22281,1494,Established,""
22306,1495,Not established,""
22201,1496,Established,""
22317,1497,Not established,""
22215,1498,Established,""
8974,1499,Not established,""
11087,1500,Not established,""
6229,1501,Not established,""
15184,1503,Not established,""
15182,1504,Not established,""
15186,1505,Not established,""
15197,1506,Not established,""
2933,1507,Not established,""
2940,1508,Not established,""
2967,1509,Not established,""
2989,1510,Not established,""
3003,1511,Not established,""
495,1512,Not established,""
15216,1513,Not established,""
15210,1514,Not established,""
15224,1515,Not established,""
19412,1516,Not established,""
6945,1517,Not established,""
6315,1519,Not established,""
3019,1520,Not established,""
14684,1521,Not established,""
6099,1522,Not established,""
6106,1523,Not established,""
8981,1524,Not established,""
8984,1525,Not established,""
8979,1526,Not established,""
15246,1527,Not established,""
7097,1528,Not established,""
7101,1529,Not established,""
22409,1531,Not established,""
22424,1532,Established,""
22433,1533,Not established,""
