id_sp_region,idspecies,vector2,sourceid,notes,last_updated
"100665","50357","Released",,"R","2006-09-19 00:00:00"
"100666","50357","Dispersed",,"D","2006-09-19 00:00:00"
"100667","50357","Released",,"R","2005-10-31 00:00:00"
"100668","50357","Dispersed",,"D","2006-04-06 00:00:00"
"100669","50357","Dispersed",,"D","2006-04-06 00:00:00"
"100670","50357","Unknown",,"U","2005-12-26 00:00:00"
"100671","50357","Unknown",,"U","2006-02-21 00:00:00"
"100672","50357","Dispersed",,"D","2005-10-31 00:00:00"
"100673","50357","Released",,"R","2005-10-31 00:00:00"
"100674","50357","Unknown",,"U","2006-02-19 00:00:00"
"100675","50357","Released",,"R","2006-10-03 00:00:00"
"100676","50357","Released",,"R","2005-10-31 00:00:00"
"100677","50357","Unknown",,"U","2005-10-31 00:00:00"
"100678","50357","Unknown",,"U","2006-10-03 00:00:00"
"100679","50357","Escaped",,"E","2005-11-26 00:00:00"
"100681","50358","Escaped",,"E ","2006-01-18 00:00:00"
"100682","50358","Escaped",,"E ","2005-11-22 00:00:00"
"100683","50358","Unknown",,"U","2006-09-19 00:00:00"
"100684","50358","Released",,"R","2006-09-19 00:00:00"
"100685","50358","Escaped",,"E","2006-10-03 00:00:00"
"100686","50358","Escaped",,"E","2006-04-23 00:00:00"
"100687","50358","Escaped",,"E,R","2005-11-06 00:00:00"
"100687","50358","Released",,"E,R","2005-11-06 00:00:00"
"100688","50359","Released",,"R","2006-05-03 00:00:00"
"100689","50360","Released",,"R","2006-11-27 00:00:00"
"100690","50361","Escaped",,"E","2005-11-26 00:00:00"
"100691","50362","Unknown",,"U ","2005-10-27 00:00:00"
"100692","50362","Unknown",,"U ","2005-10-27 00:00:00"
"100693","50362","Unknown",,"U","2005-10-27 00:00:00"
"100694","50362","Escaped",,"E","2005-10-27 00:00:00"
"100695","50363","Released",,"R","2006-02-01 00:00:00"
"100696","50363","Released",,"R","2006-02-01 00:00:00"
"100697","50364","Escaped",,"E","2006-01-18 00:00:00"
"100698","50364","Unknown",,"U ","2006-09-19 00:00:00"
"100699","50364","Unknown",,"U ","2006-02-05 00:00:00"
"100700","50364","Unknown",,"U ","2006-02-05 00:00:00"
"100701","50364","Unknown",,"U ","2006-09-19 00:00:00"
"100702","50364","Escaped",,"E","2006-01-22 00:00:00"
"100703","50364","Unknown",,"U ","2006-10-03 00:00:00"
"100704","50364","Unknown",,"U ","2006-02-05 00:00:00"
"100705","50364","Unknown",,"U","2006-10-03 00:00:00"
"100706","50364","Escaped",,"E","2006-10-03 00:00:00"
"100707","50365","Unknown",,"U","2006-02-23 00:00:00"
"100708","50365","Released",,"R","2005-12-27 00:00:00"
"100709","50365","Unknown",,"U","2005-11-01 00:00:00"
"100710","50365","Released",,"R","2006-02-23 00:00:00"
"100711","50365","Unknown",,"U ","2005-12-12 00:00:00"
"100712","50365","Unknown",,"U","2006-04-06 00:00:00"
"100713","50365","Unknown",,"U ","2006-04-06 00:00:00"
"100714","50365","Unknown",,"U","2005-11-01 00:00:00"
"100716","50366","Unknown",,"U","2006-01-22 00:00:00"
"100717","50367","Released",,"R","2006-05-03 00:00:00"
"100718","50368","Unknown",,"U","2005-11-03 00:00:00"
"100719","50369","Unknown",,"U","2005-12-15 00:00:00"
"100720","50370","Released",,"R","2005-10-27 00:00:00"
"100721","50370","Released",,"R","2005-10-27 00:00:00"
"100722","50371","Released",,"R","2006-09-19 00:00:00"
"100723","50371","Released",,"R","2006-10-03 00:00:00"
"100724","50372","Released",,"R","2005-12-14 00:00:00"
"100725","50373","Released",,"R","2006-01-18 00:00:00"
"100726","50373","Released",,"R","2005-12-26 00:00:00"
"100728","50373","Released",,"R","2005-12-14 00:00:00"
"100729","50374","Released",,"R","2005-11-13 00:00:00"
"100730","50374","Released",,"R","2006-02-08 00:00:00"
"100731","50374","Released",,"R","2006-02-23 00:00:00"
"100732","50374","Released",,"R","2005-11-01 00:00:00"
"100733","50374","Released",,"R","2005-11-01 00:00:00"
"100734","50374","Released",,"R","2006-04-06 00:00:00"
"100735","50374","Released",,"R","2006-04-06 00:00:00"
"100736","50374","Released",,"R","2006-04-06 00:00:00"
"100737","50374","Released",,"R","2005-11-01 00:00:00"
